,Date,content,change
107,2011-01-17,관광 단장 고위 파견 세종 과제 뉴욕 정아 구매 강원 제작 안내 자원 남북 브랜드 의료 진흥 서울대 학교 공기업 경영자 단지 울산 창원 행정 아산 본사 일보 미디어 대외 기기 이종 학생 오정 동양 전재 경제연구소 강남 여신 퇴직 신탁 최선 수석 디자인 총괄 광고 부사장 승진 경기도 예산 센터장 콘텐츠 도시 대책 영국 교통 소장 민간 근무 직무 부여 전보 변경 부여 전주 경북 경수 예산 제주 부행장 중기 지점장 서초 여의도 성남 신설 장세 중구 재원 금호 화성 시청 규정 드림 개설 이정 동일 공장 천안 임원 재정 교류 노동 공정 차장 식품 국립 지식 기계 여성 단체 연합 피해 진흥 검사 가스 사고 점검 보도 사업부 지점장 부회장,0.002793296
108,2011-01-24,고위 전보 승진 노동 국립 파견 경북 상공인 울산 부사장 전무 총괄 임원 의원 지점장 여신 식품 단장 국회 광고 헬스 케어 미디어 중소형 보수 우리나라 선호 나머지 해석 신탁 교보 장점 보도 제작 기초 학생 금융상품 대표이사,0.020895522
109,2011-01-25,노동 국립 파견 국회 경북 상공인 울산 미디어 광고 보도 제작 기초 학생 부사장 전무 총괄 임원 의원 금융상품 지점장 여신 헬스 케어 대표이사 고위 전보 승진 식품 단장,0.014619883
110,2011-01-30,어린이 통장 직후 적립 이제 부가 결합 우대금리 미만 체크 스타트 자녀 이내 기본 청약 입금 가입자 면제 씨티 범위 선물 납입 설정 제휴 강남 유명 이체 자원 제출 월드 세가 단위 학교 보장 위치 제일 사랑 단체 재단 가족 서류 주력 장기적 접근 에프앤가이드 가이드 마이너스 개월간 악재 저가 대금 신탁 모멘텀 단기적,-0.039660057
111,2011-01-31,장기적 접근 에프앤가이드 가이드 마이너스 개월간 악재 저가 대금 신탁 모멘텀 단기적 통장 직후 적립 이제 어린이 부가 결합 우대금리 미만 체크 스타트 자녀 이내 기본 청약 입금 가입자 면제 씨티 범위 선물 납입 설정 제휴 강남 유명 이체 자원 제출 월드 세가 단위 학교 보장 위치 제일 사랑 단체 재단 가족 서류 주력,0.020648968
112,2011-02-07,설정 여력 아이비케이투자증권 전주 이탈 사태 선호 세가,-0.025714286
113,2011-02-08,움직임 금융지주 현대캐피탈 아래 중소형 여신,-0.005865103000000001
114,2011-02-13,금융위기 코스피지수 하면서 인증 자가 소비 부각 차별화 장기적 유망 아이비케이투자증권 세계적 당장 편입,0.015432099
115,2011-02-14,수석 대표이사 기업은행장 호텔 금융위기 코스피지수 하면서 인증 자가 소비 부각 차별화 장기적 유망 아이비케이투자증권 세계적 당장 편입,-0.006079027
116,2011-02-16,자녀 금융상품 강조 중요하다 우대금리 기본 부가 금융지주 미만 물론 체크 통장 유동성 이체 면제 직접 적립 사랑 어린이 보장 월드 세가 입금 모집 참가 졸업 이해 소비 지도 여명,0.0
